id,lnannualrt,exper,tenure,female,hours_cat,ethnicgrp_cat,ratingfill_cat,hosp_cat,jobfunc_cat,jobsubfunc_cat,year,annualrt
87538,10.87762451,36.81917953,0.832876742,1,1,WHITE,NA,HQ,Finance,Subject Ma,2015,52977.60265
54973,10.19268799,18.35890579,4.134246349,1,1,BLACK,KC,HQ,Finance,Other,2015,26707.18711
43517,10.5023241,36.77260208,14.35068512,1,1,BLACK,KC,Hospital A,Finance,Other,2015,36400.00184
48740,10.38096333,16.99177933,1.849315047,1,1,WHITE,KC,Hospital A,Finance,Other,2015,32240.00416
52227,10.18643856,6.180822372,1.479452014,1,1,BLACK,KC,HQ,Finance,Other,2015,26540.80292
41990,11.1714716,16.17534256,1.983561635,1,1,MULTI,KC,HQ,Finance,Subject Ma,2015,71073.62537
81546,10.68273926,31.99452209,14.77260303,1,1,WHITE,RM,Hospital A,Finance,Coders,2015,43596.80984
70579,10.49313927,41.82191849,10.45479488,1,1,WHITE,KC,Hospital A,Finance,Other,2015,36067.20443
90248,10.18588924,18.7342453,4.860273838,1,1,HISPA,KC,Hospital C,Finance,Other,2015,26526.22762
65604,10.52492428,36.13972473,0.161643833,1,1,BLACK,NA,HQ,Finance,Other,2015,37232.01462
71971,11.19803905,26.28493118,10.7287674,1,1,BLACK,KC,HQ,Finance,Subject Ma,2015,72987.17756
65309,10.49140739,16.99177933,1.312328815,0,1,WHITE,BE,HQ,Finance,Other,2015,36004.79469
43834,10.98827171,20.47945023,10.57534218,1,1,BLACK,KC,HQ,Finance,Subject Ma,2015,59176.02249
46855,10.75939941,36.81917953,28.43013763,1,1,HISPA,KC,Hospital C,Finance,Other,2015,47070.38973
81045,10.63785362,24.52602768,11.55342484,1,1,WHITE,RM,Hospital D,Finance,Other,2015,41683.20723
78492,10.38160801,33.49589157,2.750684977,1,1,BLACK,KC,Hospital B,Finance,Other,2015,32260.79547
50869,10.59919167,41.80273819,19.97260284,1,1,HISPA,KC,HQ,Finance,Other,2015,40102.40817
53052,10.83961201,32.7534256,2.843835592,0,1,WHITE,KC,HQ,Finance,Subject Ma,2015,51001.58589
39436,10.79797459,38.20273972,16.76986313,0,1,BLACK,KC,Hospital D,Finance,Coders,2015,48921.61422
45371,10.50346661,20.63287735,0.660273969,1,1,WHITE,NA,HQ,Finance,Other,2015,36441.61268
89351,10.12502956,5.89315033,1.660274029,1,1,WHITE,NA,Hospital A,Finance,Other,2015,24959.99355
48020,11.09644032,39.75068665,30.34520531,1,1,WHITE,BE,HQ,Finance,Subject Ma,2015,65936.03044
79498,10.42328072,13.78630066,0.295890421,1,1,BLACK,NA,HQ,Finance,Other,2015,33633.59562
86375,10.38096333,26.54794693,0.600000024,1,1,BLACK,NA,HQ,Finance,Other,2015,32240.00416
58721,10.87565994,35.29862976,30.34520531,0,1,BLACK,KC,Hospital B,Finance,Subject Ma,2015,52873.62666
75770,11.6699295,33.64109421,9.495890617,1,1,WHITE,KC,Hospital A,Finance,Management,2015,117000.034
61050,10.48909378,13.95890427,0.410958916,1,1,BLACK,NA,HQ,Finance,Other,2015,35921.58979
61211,11.37206173,13.9260273,5.339725971,1,1,WHITE,RM,HQ,Finance,Subject Ma,2015,86860.7664
49390,10.47333622,25.96164322,3.652054787,1,1,BLACK,KC,HQ,Finance,Other,2015,35359.9895
64141,11.82186794,44.42739868,8.158904076,0,1,WHITE,KC,Hospital A,Finance,Management,2015,136198.4024
37693,10.38096333,18.17534256,0.391780823,1,1,BLACK,NA,HQ,Finance,Other,2015,32240.00416
87358,10.8102293,35.14520645,9.501369476,1,1,WHITE,KC,HQ,Finance,Coders,2015,49524.82319
62612,10.63134575,8.484931946,0.295890421,1,1,WHITE,NA,HQ,Finance,Other,2015,41412.81897
75882,10.38096333,28.54246521,8.235616684,1,1,WHITE,RM,HQ,Finance,Other,2015,32240.00416
41787,10.58928776,26.18630219,8.268492699,1,1,WHITE,RM,HQ,Finance,Other,2015,39707.19791
52722,10.55247402,14.21643829,1.405479431,1,1,WHITE,KC,HQ,Finance,Other,2015,38272.00707
81532,11.50001049,14.68767166,0.600000024,1,1,WHITE,NA,HQ,Finance,Management,2015,98716.80659
81740,10.75363827,38.88492966,0.410958916,1,1,WHITE,NA,HQ,Finance,Coders,2015,46799.98997
64381,10.32729053,6.043834686,1.312328815,1,1,WHITE,NA,HQ,Finance,Other,2015,30555.21137
46583,10.46447372,8.767124176,5.147945404,1,1,WHITE,RM,HQ,Finance,Other,2015,35047.99632
70972,10.33677578,6.076711655,0.12328767,1,1,BLACK,NA,HQ,Finance,Other,2015,30846.41391
46129,10.4127121,48.87945557,15.32328796,1,0,BLACK,RM,Hospital D,Finance,Other,2015,33280.00673
91725,10.24281311,5.54520607,0.295890421,1,1,WHITE,NA,Hospital A,Finance,Other,2015,28080.00708
53952,10.90588284,14.1232872,3.745205402,1,1,WHITE,KC,HQ,Finance,Subject Ma,2015,54496.01373
39021,10.43496227,40.24931335,6.106849194,1,1,WHITE,BE,HQ,Finance,Other,2015,34028.79213
76906,11.65271568,19.83287811,12.09315109,0,1,WHITE,BE,HQ,Finance,Management,2015,115003.2517
91417,10.38160801,9.230136871,0.219178081,1,1,BLACK,NA,HQ,Finance,Other,2015,32260.79547
87879,10.55084229,35.09589005,5.915068626,1,1,MULTI,RM,HQ,Finance,Other,2015,38209.60815
86857,10.63585567,28.26849365,0.501369834,1,1,WHITE,NA,HQ,Finance,Other,2015,41600.00951
54722,11.08214283,27.27945328,3.82465744,0,1,WHITE,KC,HQ,Finance,Coders,2015,65000.01827
55684,10.38096333,32.98356247,3.383561611,1,1,WHITE,KC,HQ,Finance,Other,2015,32240.00416
36045,10.26479149,8.531507492,6.547945023,1,1,BLACK,KC,Hospital C,Finance,Other,2015,28703.99207
53200,10.19268799,7.953424454,3.095890522,1,1,BLACK,NA,HQ,Finance,Other,2015,26707.18711
83693,10.21304035,28.43287659,0.12328767,1,1,WHITE,KC,Hospital A,Finance,Other,2015,27256.31052
58841,11.50001049,37.67123413,0.219178081,1,1,WHITE,NA,Hospital C,Finance,Management,2015,98716.80659
81715,10.32729053,6.043834686,1.235616446,0,1,WHITE,KC,HQ,Finance,Other,2015,30555.21137
78023,10.49946308,12.97808266,3.479452133,1,1,BLACK,KC,HQ,Finance,Other,2015,36296.00944
68811,10.30596161,19.10137177,0.410958916,1,1,WHITE,NA,HQ,Finance,Other,2015,29910.40251
54086,10.51312256,6.260274887,0.909589052,1,1,MULTI,KC,HQ,Finance,Other,2015,36795.1955
67361,11.12963676,41.91506958,7.161643982,1,1,WHITE,KC,HQ,Finance,Other,2015,68161.6088
40069,10.31771374,49.89862823,25.57260323,1,0,BLACK,KC,Hospital D,Finance,Other,2015,30263.98702
61204,10.33677578,36.84931564,8.983561516,1,1,BLACK,KC,Hospital B,Finance,Other,2015,30846.41391
